,id_item,title,price,category,link,img_url
0,1,JT-0378-R LNAVY,42999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0378-r-lnavy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0378-R/JT-0378-R-LNAVY-5-1.jpg
1,2,JT-0374-R NAVY,21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0374-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0374-R/JT-0374-R-NAVY-5-1.jpg
2,3,"Повседневный пиджак из эластичной ткани, прямой силуэт JT-0369-R KHAKI",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0369-r-khaki/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0369-R/JT-0369-R-KHAKI-5-1.jpg
3,4,Пиджак повседневный из хлопка и льна на мужчин среднего телосложения JT-0381-R BLUE,23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0381-r-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0381-R/JT-0381-R-BLUE-5-1.jpg
4,5,Пиджак повседневный из хлопка и льна на мужчин плотного телосложения JT-0381-RP BLUE,23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0381-rp-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0381-RP/JT-0381-RP-BLUE-5-1.jpg
5,6,Пиджак из шерсти Lanificio Zignone на мужчин среднего телосложения JT-0379-R BLUE,42999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0379-r-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0379-R/JT-0379-R-BLUE-5-1.jpg
6,7,"Повседневный пиджак из ткани с содержанием вискозы, прямой силуэт JT-0371-R NAVY",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0371-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0371-R/JT-0371-R-NAVY-5-1.jpg
7,8,"Повседневный пиджак из ткани с содержанием вискозы, прямой силуэт JT-0370-R NAVY",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0370-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0370-R/JT-0370-R-NAVY-5-1.jpg
8,9,"Повседневный пиджак изо льна и хлопка, прямой силуэт JT-0367-R LNAVY",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0367-r-lnavy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0367-R/JT-0367-R-LNAVY-5-1.jpg
9,10,"Повседневный пиджак из ткани с содержанием вискозы, прилегающий силуэт JT-0383-SS BEIGE",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0383-ss-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0383-SS/JT-0383-SS-BEIGE-5-1.jpg
10,11,Пиджак из шерсти Lanificio Zignone на мужчин среднего телосложения роста выше среднего JT-0379-S BLUE,42999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0379-s-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0379-S/JT-0379-S-BLUE-5-1.jpg
11,12,"Повседневный пиджак из ткани с содержанием вискозы, прямой силуэт JT-0383-R BEIGE",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0383-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0383-R/JT-0383-R-BEIGE-5-7.jpg
12,13,"Повседневный трикотажный пиджак, прямой силуэт JT-0382-R BEIGE",25999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0382-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0382-R/JT-0382-R-BEIGE-5-4.jpg
13,14,"Повседневный двубортный жилет из ткани с содержанием вискозы, прямой силуэт VC-0015-R BEIGE",9999,"[""Одежда"",""Жилеты"",""Пиджаки повседневные""]",https://henderson.ru/product/vc-0015-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/VC-0015-R/VC-0015-R-BEIGE-5-1.jpg
14,15,"Повседневный пиджак из ткани с содержанием вискозы, прямой силуэт JT-0372-R KHAKI",15995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0372-r-khaki/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0372-R/JT-0372-R-KHAKI-5-1.jpg
15,16,"Повседневный пиджак из ткани с содержанием вискозы, прямой силуэт JT-0368-R LNAVY",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0368-r-lnavy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0368-R/JT-0368-R-LNAVY-5-1.jpg
16,17,"Повседневный пиджак изо льна и хлопка, полуприлегающий силуэт, на мужчину роста выше среднего JT-0367-S LNAVY",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0367-s-lnavy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0367-S/JT-0367-S-LNAVY-5-1.jpg
17,18,"Пиджак повседневный из ткани с содержанием льна, прямой, на мужчин среднего телосложения JT-0331-R BEIGE",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0331-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0331-R/JT-0331-R-BEIGE-5-1.jpg
18,19,"Пиджак повседневный из смеси хлопка и льна, прямой, на мужчин среднего телосложения JT-0330-R NAVY",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0330-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0330-R/JT-0330-R-NAVY-5-1.jpg
19,20,"Пиджак повседневный из хлопка и льна, полуприлегающий, на среднее телосложение рост выше среднего JT-0330-S NAVY",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0330-s-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0330-S/JT-0330-S-NAVY-5-2.jpg
20,21,JT-0331-SS BEIGE,21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0331-ss-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0331-SS/JT-0331-SS-BEIGE-5-1.jpg
21,22,"Повседневный вельветовый пиджак из хлопка, прямой силуэт JT-0373-R DYELLOW",23999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0373-r-dyellow/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0373-R/JT-0373-R-DYELLOW-5-1.jpg
22,23,"Повседневный пиджак из шерсти от итальянской фабрики Lanificio Bottoli, прямой силуэт JT-0363-R BEIGE",45999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0363-r-beige/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0363-R/JT-0363-R-BEIGE-5-2.jpg
23,24,"Трикотажный пиджак с накладными карманами, прямой, на мужчин среднего телосложения JT-0320-R NAVY",21999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0320-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0320-R/JT-0320-R-NAVY-5-2.jpg
24,25,"Повседневный пиджак из шерсти, прямой силуэт JT-0364-1-R NAVY",35999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0364-1-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0364-1-R/JT-0364-1-R-NAVY-5-1.jpg
25,26,"Повседневный пиджак из твила, прилегающий силуэт JT-0365-1-SS DGREY",19995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0365-1-ss-dgrey/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0365-1-SS/JT-0365-1-SS-DGREY-5-1.jpg
26,27,"Повседневный пиджак из эластичной ткани, прямой силуэт JT-0354-R NAVY",19999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0354-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0354-R/JT-0354-R-NAVY-5-1.jpg
27,28,"Повседневный пиджак из шерсти от итальянской фабрики Lanificio Zignone, прямой силуэт JT-0360-R BLUE",42999,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0360-r-blue/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0360-R/JT-0360-R-BLUE-5-2.jpg
28,29,"Повседневный трикотажный пиджак, прямой силуэт JT-0352-R NAVY",13995,"[""Одежда"",""Пиджаки повседневные""]",https://henderson.ru/product/jt-0352-r-navy/,https://cdnstatic.henderson.ru/images/catalog/product/JT-0352-R/JT-0352-R-NAVY-5-1.jpg
